complexity,loss,equation,score,sympy_format,lambda_format
1,0.45475835,-1.9677788,0.0,-1.96777880000000,PySRFunction(X=>-1.96777880000000)
3,0.08615843,ElementProperty_MagpieData_avg_dev_Electronegativity * -1.9097486,0.8317891840987419,ElementProperty_MagpieData_avg_dev_Electronegativity*(-1.9097486),PySRFunction(X=>ElementProperty_MagpieData_avg_dev_Electronegativity*(-1.9097486))
4,0.056821868,0.9788221 - exp(ElementProperty_MagpieData_avg_dev_Electronegativity),0.41626655913576904,0.9788221 - exp(ElementProperty_MagpieData_avg_dev_Electronegativity),PySRFunction(X=>0.9788221 - exp(ElementProperty_MagpieData_avg_dev_Electronegativity))
5,0.05017506,(ElementProperty_MagpieData_avg_dev_Electronegativity * -2.6935985) + 0.86624086,0.1244031611372868,0.86624086 + ElementProperty_MagpieData_avg_dev_Electronegativity*(-2.6935985),PySRFunction(X=>0.86624086 + ElementProperty_MagpieData_avg_dev_Electronegativity*(-2.6935985))
6,0.042644806,sqrt(ElectronegativityDiff_std_dev_EN_difference) + (ElementProperty_MagpieData_avg_dev_Electronegativity * -2.576564),0.16261260592074336,sqrt(ElectronegativityDiff_std_dev_EN_difference) - 2.576564*ElementProperty_MagpieData_avg_dev_Electronegativity,PySRFunction(X=>sqrt(ElectronegativityDiff_std_dev_EN_difference) - 2.576564*ElementProperty_MagpieData_avg_dev_Electronegativity)
7,0.039769962,((ElementProperty_MagpieData_avg_dev_Electronegativity * -0.027912762) + 0.009094598) * bnd_wICOBI,0.06979358085054045,bnd_wICOBI*(0.009094598 + ElementProperty_MagpieData_avg_dev_Electronegativity*(-0.027912762)),PySRFunction(X=>bnd_wICOBI*(0.009094598 + ElementProperty_MagpieData_avg_dev_Electronegativity*(-0.027912762)))
8,0.03891194,(antibonding_orb_perc_min + inv(ElementProperty_MagpieData_mean_NsValence)) + (ElementProperty_MagpieData_avg_dev_Electronegativity * -2.8157973),0.021810759323328148,ElementProperty_MagpieData_avg_dev_Electronegativity*(-2.8157973) + antibonding_orb_perc_min + 1/ElementProperty_MagpieData_mean_NsValence,PySRFunction(X=>ElementProperty_MagpieData_avg_dev_Electronegativity*(-2.8157973) + antibonding_orb_perc_min + 1/ElementProperty_MagpieData_mean_NsValence)
9,0.034004074,(antibonding_orb_perc_min + 0.51452106) + ((TMetalFraction_transition_metal_fraction + -2.810289) * ElementProperty_MagpieData_avg_dev_Electronegativity),0.13482080343441602,ElementProperty_MagpieData_avg_dev_Electronegativity*(TMetalFraction_transition_metal_fraction - 2.810289) + antibonding_orb_perc_min + 0.51452106,PySRFunction(X=>ElementProperty_MagpieData_avg_dev_Electronegativity*(TMetalFraction_transition_metal_fraction - 2.810289) + antibonding_orb_perc_min + 0.51452106)
10,0.03291692,(inv(ElementProperty_MagpieData_mean_NsValence) + antibonding_orb_perc_min) + ((TMetalFraction_transition_metal_fraction + -2.8704267) * ElementProperty_MagpieData_avg_dev_Electronegativity),0.03249352968126988,ElementProperty_MagpieData_avg_dev_Electronegativity*(TMetalFraction_transition_metal_fraction - 2.8704267) + antibonding_orb_perc_min + 1/ElementProperty_MagpieData_mean_NsValence,PySRFunction(X=>ElementProperty_MagpieData_avg_dev_Electronegativity*(TMetalFraction_transition_metal_fraction - 2.8704267) + antibonding_orb_perc_min + 1/ElementProperty_MagpieData_mean_NsValence)
11,0.032619163,((ElementProperty_MagpieData_mean_NsUnfilled / exp(ElementProperty_MagpieData_maximum_NfUnfilled)) + 0.59445137) - exp(ElementProperty_MagpieData_avg_dev_Electronegativity * 0.9350713),0.009086873527213981,ElementProperty_MagpieData_mean_NsUnfilled/exp(ElementProperty_MagpieData_maximum_NfUnfilled) - exp(ElementProperty_MagpieData_avg_dev_Electronegativity*0.9350713) + 0.59445137,PySRFunction(X=>ElementProperty_MagpieData_mean_NsUnfilled/exp(ElementProperty_MagpieData_maximum_NfUnfilled) - exp(ElementProperty_MagpieData_avg_dev_Electronegativity*0.9350713) + 0.59445137)
12,0.027018845,((((ElementProperty_MagpieData_mean_NsUnfilled - AtomicOrbitals_gap_AO) / exp(ElementProperty_MagpieData_maximum_NfUnfilled)) + -2.7523854) * ElementProperty_MagpieData_avg_dev_Electronegativity) + 0.7713046,0.18836535225440168,ElementProperty_MagpieData_avg_dev_Electronegativity*((-AtomicOrbitals_gap_AO + ElementProperty_MagpieData_mean_NsUnfilled)/exp(ElementProperty_MagpieData_maximum_NfUnfilled) - 2.7523854) + 0.7713046,PySRFunction(X=>ElementProperty_MagpieData_avg_dev_Electronegativity*((-AtomicOrbitals_gap_AO + ElementProperty_MagpieData_mean_NsUnfilled)/exp(ElementProperty_MagpieData_maximum_NfUnfilled) - 2.7523854) + 0.7713046)
13,0.026406953,(ElementProperty_MagpieData_avg_dev_Electronegativity * (((ElementProperty_MagpieData_mean_NsUnfilled - AtomicOrbitals_gap_AO) / cube(exp(ElementProperty_MagpieData_maximum_NfUnfilled))) - 2.7476842)) + 0.7700128,0.022907238816139628,ElementProperty_MagpieData_avg_dev_Electronegativity*((-AtomicOrbitals_gap_AO + ElementProperty_MagpieData_mean_NsUnfilled)/exp(3*ElementProperty_MagpieData_maximum_NfUnfilled) - 1*2.7476842) + 0.7700128,PySRFunction(X=>ElementProperty_MagpieData_avg_dev_Electronegativity*((-AtomicOrbitals_gap_AO + ElementProperty_MagpieData_mean_NsUnfilled)/exp(3*ElementProperty_MagpieData_maximum_NfUnfilled) - 1*2.7476842) + 0.7700128)
14,0.026375528,((((ElementProperty_MagpieData_mean_NsUnfilled - AtomicOrbitals_gap_AO) / cube(square(exp(ElementProperty_MagpieData_maximum_NfUnfilled)))) - 2.7471566) * ElementProperty_MagpieData_avg_dev_Electronegativity) + 0.7698672,0.0011907361350824983,ElementProperty_MagpieData_avg_dev_Electronegativity*((-AtomicOrbitals_gap_AO + ElementProperty_MagpieData_mean_NsUnfilled)/exp(6*ElementProperty_MagpieData_maximum_NfUnfilled) - 1*2.7471566) + 0.7698672,PySRFunction(X=>ElementProperty_MagpieData_avg_dev_Electronegativity*((-AtomicOrbitals_gap_AO + ElementProperty_MagpieData_mean_NsUnfilled)/exp(6*ElementProperty_MagpieData_maximum_NfUnfilled) - 1*2.7471566) + 0.7698672)
15,0.026147436,(ElementProperty_MagpieData_avg_dev_Electronegativity * ((45.780422 - (ElementProperty_MagpieData_mean_NsUnfilled / (AtomicOrbitals_gap_AO - (ElementProperty_MagpieData_maximum_NfUnfilled + -0.056962088)))) * -0.060251538)) + 0.78334266,0.00868547456264842,ElementProperty_MagpieData_avg_dev_Electronegativity*(45.780422 - ElementProperty_MagpieData_mean_NsUnfilled/(AtomicOrbitals_gap_AO - (ElementProperty_MagpieData_maximum_NfUnfilled - 0.056962088)))*(-0.060251538) + 0.78334266,PySRFunction(X=>ElementProperty_MagpieData_avg_dev_Electronegativity*(45.780422 - ElementProperty_MagpieData_mean_NsUnfilled/(AtomicOrbitals_gap_AO - (ElementProperty_MagpieData_maximum_NfUnfilled - 0.056962088)))*(-0.060251538) + 0.78334266)
