complexity,loss,equation,score,sympy_format,lambda_format
1,0.45475835,-1.9677719,0.0,-1.96777190000000,PySRFunction(X=>-1.96777190000000)
3,0.08615843,ElementProperty_MagpieData_avg_dev_Electronegativity * -1.9097486,0.8317891840987419,ElementProperty_MagpieData_avg_dev_Electronegativity*(-1.9097486),PySRFunction(X=>ElementProperty_MagpieData_avg_dev_Electronegativity*(-1.9097486))
4,0.056821864,0.9788136 - exp(ElementProperty_MagpieData_avg_dev_Electronegativity),0.41626662953120447,0.9788136 - exp(ElementProperty_MagpieData_avg_dev_Electronegativity),PySRFunction(X=>0.9788136 - exp(ElementProperty_MagpieData_avg_dev_Electronegativity))
5,0.049891364,cube(sqrt(ElementProperty_MagpieData_avg_dev_Electronegativity) * -1.212566),0.1300732595906497,-1.78285555990774*ElementProperty_MagpieData_avg_dev_Electronegativity**(3/2),PySRFunction(X=>-1.78285555990774*ElementProperty_MagpieData_avg_dev_Electronegativity**(3/2))
6,0.042644802,(ElementProperty_MagpieData_avg_dev_Electronegativity * -2.5765634) + sqrt(ElectronegativityDiff_std_dev_EN_difference),0.15694253087000773,sqrt(ElectronegativityDiff_std_dev_EN_difference) - 2.5765634*ElementProperty_MagpieData_avg_dev_Electronegativity,PySRFunction(X=>sqrt(ElectronegativityDiff_std_dev_EN_difference) - 2.5765634*ElementProperty_MagpieData_avg_dev_Electronegativity)
7,0.040819377,(ElementProperty_MagpieData_avg_dev_Electronegativity * -2.6818085) + sqrt(sqrt(ElectronegativityDiff_std_dev_EN_difference)),0.04374849563870688,ElectronegativityDiff_std_dev_EN_difference**(1/4) - 2.6818085*ElementProperty_MagpieData_avg_dev_Electronegativity,PySRFunction(X=>ElectronegativityDiff_std_dev_EN_difference**(1/4) - 2.6818085*ElementProperty_MagpieData_avg_dev_Electronegativity)
8,0.039186783,(ElementProperty_MagpieData_avg_dev_Electronegativity - 0.28910172) * (sqrt(ElectronegativityDiff_std_dev_EN_difference) + -3.3108797),0.04081737356378653,(sqrt(ElectronegativityDiff_std_dev_EN_difference) - 3.3108797)*(ElementProperty_MagpieData_avg_dev_Electronegativity - 0.28910172),PySRFunction(X=>(sqrt(ElectronegativityDiff_std_dev_EN_difference) - 3.3108797)*(ElementProperty_MagpieData_avg_dev_Electronegativity - 0.28910172))
9,0.0374871,ElementProperty_MagpieData_avg_dev_Electronegativity * (-1.2546538 - ((Madelung_Mull - ElementProperty_MagpieData_range_NUnfilled) * -0.0125007415)),0.044342647780243535,ElementProperty_MagpieData_avg_dev_Electronegativity*(-(-0.0125007415)*(-ElementProperty_MagpieData_range_NUnfilled + Madelung_Mull) - 1.2546538),PySRFunction(X=>ElementProperty_MagpieData_avg_dev_Electronegativity*(-(-0.0125007415)*(-ElementProperty_MagpieData_range_NUnfilled + Madelung_Mull) - 1.2546538))
11,0.033310935,(-1.2936115 - ((Madelung_Mull - (ElementProperty_MagpieData_range_NUnfilled * ElectronegativityDiff_minimum_EN_difference)) * -0.010779776)) * ElementProperty_MagpieData_avg_dev_Electronegativity,0.05905557616719763,ElementProperty_MagpieData_avg_dev_Electronegativity*(-(-0.010779776)*(-ElectronegativityDiff_minimum_EN_difference*ElementProperty_MagpieData_range_NUnfilled + Madelung_Mull) - 1.2936115),PySRFunction(X=>ElementProperty_MagpieData_avg_dev_Electronegativity*(-(-0.010779776)*(-ElectronegativityDiff_minimum_EN_difference*ElementProperty_MagpieData_range_NUnfilled + Madelung_Mull) - 1.2936115))
13,0.03032204,(3.5111601 / (ElementProperty_MagpieData_range_NUnfilled + ElementProperty_MagpieData_avg_dev_Column)) + ((-1.8208582 - (Madelung_Mull / -120.2536)) * ElementProperty_MagpieData_avg_dev_Electronegativity),0.047005440313840206,ElementProperty_MagpieData_avg_dev_Electronegativity*(-Madelung_Mull/(-120.2536) - 1.8208582) + 3.5111601/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled),PySRFunction(X=>ElementProperty_MagpieData_avg_dev_Electronegativity*(-Madelung_Mull/(-120.2536) - 1.8208582) + 3.5111601/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled))
14,0.02869427,sqrt(ElectronegativityDiff_std_dev_EN_difference / (ElementProperty_MagpieData_range_NUnfilled + 2.1478207)) - (ElementProperty_MagpieData_avg_dev_Electronegativity * (1.82354 - (Madelung_Mull * 0.0076902313))),0.05517738956811305,-ElementProperty_MagpieData_avg_dev_Electronegativity*(1.82354 - 0.0076902313*Madelung_Mull) + sqrt(ElectronegativityDiff_std_dev_EN_difference/(ElementProperty_MagpieData_range_NUnfilled + 2.1478207)),PySRFunction(X=>-ElementProperty_MagpieData_avg_dev_Electronegativity*(1.82354 - 0.0076902313*Madelung_Mull) + sqrt(ElectronegativityDiff_std_dev_EN_difference/(ElementProperty_MagpieData_range_NUnfilled + 2.1478207)))
15,0.028677374,sqrt(ElectronegativityDiff_std_dev_EN_difference / (ElementProperty_MagpieData_range_NUnfilled + sqrt(ElementProperty_MagpieData_avg_dev_Column))) - ((1.8127676 - (Madelung_Mull * 0.0077253315)) * ElementProperty_MagpieData_avg_dev_Electronegativity),0.0005890017894021367,-ElementProperty_MagpieData_avg_dev_Electronegativity*(1.8127676 - 0.0077253315*Madelung_Mull) + sqrt(ElectronegativityDiff_std_dev_EN_difference/(sqrt(ElementProperty_MagpieData_avg_dev_Column) + ElementProperty_MagpieData_range_NUnfilled)),PySRFunction(X=>-ElementProperty_MagpieData_avg_dev_Electronegativity*(1.8127676 - 0.0077253315*Madelung_Mull) + sqrt(ElectronegativityDiff_std_dev_EN_difference/(sqrt(ElementProperty_MagpieData_avg_dev_Column) + ElementProperty_MagpieData_range_NUnfilled)))
