complexity,loss,equation,score,sympy_format,lambda_format
1,0.45475835,-1.9677745,0.0,-1.96777450000000,PySRFunction(X=>-1.96777450000000)
3,0.08615843,ElementProperty_MagpieData_avg_dev_Electronegativity * -1.9097486,0.8317891840987419,ElementProperty_MagpieData_avg_dev_Electronegativity*(-1.9097486),PySRFunction(X=>ElementProperty_MagpieData_avg_dev_Electronegativity*(-1.9097486))
4,0.056821864,0.9788259 - exp(ElementProperty_MagpieData_avg_dev_Electronegativity),0.41626662953120447,0.9788259 - exp(ElementProperty_MagpieData_avg_dev_Electronegativity),PySRFunction(X=>0.9788259 - exp(ElementProperty_MagpieData_avg_dev_Electronegativity))
5,0.05017506,(ElementProperty_MagpieData_avg_dev_Electronegativity * -2.693505) + 0.86614406,0.1244030907418513,0.86614406 + ElementProperty_MagpieData_avg_dev_Electronegativity*(-2.693505),PySRFunction(X=>0.86614406 + ElementProperty_MagpieData_avg_dev_Electronegativity*(-2.693505))
6,0.042644806,sqrt(ElectronegativityDiff_std_dev_EN_difference) + (ElementProperty_MagpieData_avg_dev_Electronegativity * -2.5765646),0.16261260592074336,sqrt(ElectronegativityDiff_std_dev_EN_difference) - 2.5765646*ElementProperty_MagpieData_avg_dev_Electronegativity,PySRFunction(X=>sqrt(ElectronegativityDiff_std_dev_EN_difference) - 2.5765646*ElementProperty_MagpieData_avg_dev_Electronegativity)
7,0.040819377,(ElementProperty_MagpieData_avg_dev_Electronegativity * -2.6818073) + sqrt(sqrt(ElectronegativityDiff_std_dev_EN_difference)),0.043748589436769535,ElectronegativityDiff_std_dev_EN_difference**(1/4) - 2.6818073*ElementProperty_MagpieData_avg_dev_Electronegativity,PySRFunction(X=>ElectronegativityDiff_std_dev_EN_difference**(1/4) - 2.6818073*ElementProperty_MagpieData_avg_dev_Electronegativity)
8,0.037091393,(ElementProperty_MagpieData_avg_dev_Electronegativity * -2.465045) + sqrt(ElectronegativityDiff_std_dev_EN_difference / Loewdin_max),0.09577194704950971,-2.465045*ElementProperty_MagpieData_avg_dev_Electronegativity + sqrt(ElectronegativityDiff_std_dev_EN_difference/Loewdin_max),PySRFunction(X=>-2.465045*ElementProperty_MagpieData_avg_dev_Electronegativity + sqrt(ElectronegativityDiff_std_dev_EN_difference/Loewdin_max))
9,0.03343194,(ElementProperty_MagpieData_avg_dev_Electronegativity + -0.23570086) * ((ElectronegativityDiff_std_dev_EN_difference / Loewdin_max) + -2.8075182),0.10387321763303344,(ElementProperty_MagpieData_avg_dev_Electronegativity - 0.23570086)*(ElectronegativityDiff_std_dev_EN_difference/Loewdin_max - 2.8075182),PySRFunction(X=>(ElementProperty_MagpieData_avg_dev_Electronegativity - 0.23570086)*(ElectronegativityDiff_std_dev_EN_difference/Loewdin_max - 2.8075182))
10,0.032737087,(ElementProperty_MagpieData_avg_dev_Electronegativity + -0.24533008) * (sqrt(ElectronegativityDiff_std_dev_EN_difference / Loewdin_max) + -3.0472484),0.02100313620412547,(ElementProperty_MagpieData_avg_dev_Electronegativity - 0.24533008)*(sqrt(ElectronegativityDiff_std_dev_EN_difference/Loewdin_max) - 3.0472484),PySRFunction(X=>(ElementProperty_MagpieData_avg_dev_Electronegativity - 0.24533008)*(sqrt(ElectronegativityDiff_std_dev_EN_difference/Loewdin_max) - 3.0472484))
11,0.032436695,((ElementProperty_MagpieData_avg_dev_Electronegativity + -0.37997234) * ((ElectronegativityDiff_std_dev_EN_difference / Loewdin_max) + -2.8259187)) + -0.3335495,0.009218250589676388,(ElementProperty_MagpieData_avg_dev_Electronegativity - 0.37997234)*(ElectronegativityDiff_std_dev_EN_difference/Loewdin_max - 2.8259187) - 0.3335495,PySRFunction(X=>(ElementProperty_MagpieData_avg_dev_Electronegativity - 0.37997234)*(ElectronegativityDiff_std_dev_EN_difference/Loewdin_max - 2.8259187) - 0.3335495)
