complexity,loss,equation,score,sympy_format,lambda_format
1,0.0095422445,0.06665229,0.0,0.0666522900000000,PySRFunction(X=>0.0666522900000000)
2,0.009512612,sqrt(GeneralizedRDF_std_dev_Gaussian_center_8_0_width_1_0),0.0031102332245451377,sqrt(GeneralizedRDF_std_dev_Gaussian_center_8_0_width_1_0),PySRFunction(X=>sqrt(GeneralizedRDF_std_dev_Gaussian_center_8_0_width_1_0))
3,0.007958585,p_band_center * -0.015784208,0.17836727686475876,p_band_center*(-0.015784208),PySRFunction(X=>p_band_center*(-0.015784208))
4,0.007633477,square(p_band_center) * 0.002677548,0.04170777755966497,p_band_center**2*0.002677548,PySRFunction(X=>p_band_center**2*0.002677548)
5,0.007197777,p_band_center * (ElementProperty_MagpieData_avg_dev_MeltingT * -4.4300014e-5),0.05877121432675551,p_band_center*ElementProperty_MagpieData_avg_dev_MeltingT*(-4.4300014e-5),PySRFunction(X=>p_band_center*ElementProperty_MagpieData_avg_dev_MeltingT*(-4.4300014e-5))
6,0.0068968846,square((YangSolidSolution_Yang_omega * p_band_center) * -1.4108e-8),0.04270242595216692,1.99035664e-16*YangSolidSolution_Yang_omega**2*p_band_center**2,PySRFunction(X=>1.99035664e-16*YangSolidSolution_Yang_omega**2*p_band_center**2)
7,0.0067985184,(ElementProperty_MagpieData_avg_dev_MeltingT * (p_band_center * SineCoulombMatrix_sine_coulomb_matrix_eig_4)) * -6.2746492e-9,0.014365096307436938,ElementProperty_MagpieData_avg_dev_MeltingT*p_band_center*SineCoulombMatrix_sine_coulomb_matrix_eig_4*(-6.2746492e-9),PySRFunction(X=>ElementProperty_MagpieData_avg_dev_MeltingT*p_band_center*SineCoulombMatrix_sine_coulomb_matrix_eig_4*(-6.2746492e-9))
8,0.0065535554,((ElectronegativityDiff_range_EN_difference * square(p_band_center)) * YangSolidSolution_Yang_omega) * 7.469333e-10,0.036696994549448275,ElectronegativityDiff_range_EN_difference*p_band_center**2*YangSolidSolution_Yang_omega*7.469333e-10,PySRFunction(X=>ElectronegativityDiff_range_EN_difference*p_band_center**2*YangSolidSolution_Yang_omega*7.469333e-10)
10,0.0063419035,((YangSolidSolution_Yang_omega * 1.0179059e-9) * ElectronegativityDiff_range_EN_difference) * square(p_band_center * bonding_perc_max),0.016414375779827725,YangSolidSolution_Yang_omega*1.0179059e-9*ElectronegativityDiff_range_EN_difference*(bonding_perc_max**2*p_band_center**2),PySRFunction(X=>YangSolidSolution_Yang_omega*1.0179059e-9*ElectronegativityDiff_range_EN_difference*(bonding_perc_max**2*p_band_center**2))
11,0.006050446,8.267802e-10 * (square(p_band_center + inv(ElementProperty_MagpieData_minimum_Number + -5.1540585)) * YangSolidSolution_Yang_omega),0.047046971646305905,8.267802e-10*YangSolidSolution_Yang_omega*(p_band_center + 1/(ElementProperty_MagpieData_minimum_Number - 5.1540585))**2,PySRFunction(X=>8.267802e-10*YangSolidSolution_Yang_omega*(p_band_center + 1/(ElementProperty_MagpieData_minimum_Number - 5.1540585))**2)
12,0.005781316,(YangSolidSolution_Yang_omega * 7.7522444e-10) * square(p_band_center - inv(square(ElementProperty_MagpieData_minimum_Number + -4.569916))),0.04550064990425203,YangSolidSolution_Yang_omega*7.7522444e-10*(p_band_center - 1/(ElementProperty_MagpieData_minimum_Number - 4.569916)**2)**2,PySRFunction(X=>YangSolidSolution_Yang_omega*7.7522444e-10*(p_band_center - 1/(ElementProperty_MagpieData_minimum_Number - 4.569916)**2)**2)
14,0.0053569144,(square(square(inv(ElementProperty_MagpieData_minimum_Number + -4.495166)) - p_band_center) * (YangSolidSolution_Yang_omega * ElectronegativityDiff_range_EN_difference)) * 7.26469e-10,0.03812160037563479,(-p_band_center + (ElementProperty_MagpieData_minimum_Number - 4.495166)**(-2))**2*YangSolidSolution_Yang_omega*ElectronegativityDiff_range_EN_difference*7.26469e-10,PySRFunction(X=>(-p_band_center + (ElementProperty_MagpieData_minimum_Number - 4.495166)**(-2))**2*YangSolidSolution_Yang_omega*ElectronegativityDiff_range_EN_difference*7.26469e-10)
16,0.0051841685,((bonding_perc_max * 8.596127e-10) * (ElectronegativityDiff_range_EN_difference * YangSolidSolution_Yang_omega)) * square(square(inv(ElementProperty_MagpieData_minimum_Number + -4.500592)) - p_band_center),0.01638933764931055,bonding_perc_max*8.596127e-10*ElectronegativityDiff_range_EN_difference*YangSolidSolution_Yang_omega*(-p_band_center + (ElementProperty_MagpieData_minimum_Number - 4.500592)**(-2))**2,PySRFunction(X=>bonding_perc_max*8.596127e-10*ElectronegativityDiff_range_EN_difference*YangSolidSolution_Yang_omega*(-p_band_center + (ElementProperty_MagpieData_minimum_Number - 4.500592)**(-2))**2)
18,0.005072507,((square(inv(square(ElementProperty_MagpieData_minimum_Number + -4.497756)) - p_band_center) * ElectronegativityDiff_range_EN_difference) * ((YangSolidSolution_Yang_omega * 8.596127e-10) * bonding_perc_max)) - XRDPowderPattern_xrd_16,0.01088714483636788,(-p_band_center + (ElementProperty_MagpieData_minimum_Number - 4.497756)**(-2))**2*ElectronegativityDiff_range_EN_difference*YangSolidSolution_Yang_omega*8.596127e-10*bonding_perc_max - XRDPowderPattern_xrd_16,PySRFunction(X=>(-p_band_center + (ElementProperty_MagpieData_minimum_Number - 4.497756)**(-2))**2*ElectronegativityDiff_range_EN_difference*YangSolidSolution_Yang_omega*8.596127e-10*bonding_perc_max - XRDPowderPattern_xrd_16)
