complexity,loss,equation,score,sympy_format,lambda_format
1,0.0095422445,0.06664475,0.0,0.0666447500000000,PySRFunction(X=>0.0666447500000000)
3,0.007228513,antibond_max_times_p_center_sq * 0.0046398584,0.1388476930615767,antibond_max_times_p_center_sq*0.0046398584,PySRFunction(X=>antibond_max_times_p_center_sq*0.0046398584)
5,0.006607134,(antibond_max_times_p_center_sq * 1.3307224e-9) * YangSolidSolution_Yang_omega,0.04494168491990228,antibond_max_times_p_center_sq*1.3307224e-9*YangSolidSolution_Yang_omega,PySRFunction(X=>antibond_max_times_p_center_sq*1.3307224e-9*YangSolidSolution_Yang_omega)
7,0.0063287583,(YangSolidSolution_Yang_omega * 1.2807931e-9) * (rangeEN_div_minEN + antibond_max_times_p_center_sq),0.02152295929257502,YangSolidSolution_Yang_omega*1.2807931e-9*(antibond_max_times_p_center_sq + rangeEN_div_minEN),PySRFunction(X=>YangSolidSolution_Yang_omega*1.2807931e-9*(antibond_max_times_p_center_sq + rangeEN_div_minEN))
8,0.0058581135,((square(ICOHP_min_times_log_swidth) + antibond_max_times_p_center_sq) * YangSolidSolution_Yang_omega) * 1.1124822e-9,0.07727643234530367,(ICOHP_min_times_log_swidth**2 + antibond_max_times_p_center_sq)*YangSolidSolution_Yang_omega*1.1124822e-9,PySRFunction(X=>(ICOHP_min_times_log_swidth**2 + antibond_max_times_p_center_sq)*YangSolidSolution_Yang_omega*1.1124822e-9)
10,0.005586656,(YangSolidSolution_Yang_omega * (antibond_max_times_p_center_sq + square(GaussSymm_div_minEN - ICOHP_min_times_log_swidth))) * 1.1060604e-9,0.02372336317754969,YangSolidSolution_Yang_omega*(antibond_max_times_p_center_sq + (GaussSymm_div_minEN - ICOHP_min_times_log_swidth)**2)*1.1060604e-9,PySRFunction(X=>YangSolidSolution_Yang_omega*(antibond_max_times_p_center_sq + (GaussSymm_div_minEN - ICOHP_min_times_log_swidth)**2)*1.1060604e-9)
11,0.005444548,((square(ICOHP_min_times_log_swidth - square(GaussianSymmFunc_mean_G4_0_005_4_0__1_0)) + antibond_max_times_p_center_sq) * YangSolidSolution_Yang_omega) * 9.916661e-10,0.025766156074443894,(antibond_max_times_p_center_sq + (-GaussianSymmFunc_mean_G4_0_005_4_0__1_0**2 + ICOHP_min_times_log_swidth)**2)*YangSolidSolution_Yang_omega*9.916661e-10,PySRFunction(X=>(antibond_max_times_p_center_sq + (-GaussianSymmFunc_mean_G4_0_005_4_0__1_0**2 + ICOHP_min_times_log_swidth)**2)*YangSolidSolution_Yang_omega*9.916661e-10)
12,0.005366811,(YangSolidSolution_Yang_omega * 1.100352e-9) * (square((ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth) - GaussSymm_div_minEN) + antibond_max_times_p_center_sq),0.014380863631087381,YangSolidSolution_Yang_omega*1.100352e-9*(antibond_max_times_p_center_sq + (-GaussSymm_div_minEN + ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth)**2),PySRFunction(X=>YangSolidSolution_Yang_omega*1.100352e-9*(antibond_max_times_p_center_sq + (-GaussSymm_div_minEN + ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth)**2))
13,0.0051878225,((square(GaussSymm_div_minEN + (square(GaussianSymmFunc_mean_G4_0_005_4_0__1_0) - ICOHP_min_times_log_swidth)) + antibond_max_times_p_center_sq) * 9.844408e-10) * YangSolidSolution_Yang_omega,0.03391982507147395,(antibond_max_times_p_center_sq + (GaussSymm_div_minEN + GaussianSymmFunc_mean_G4_0_005_4_0__1_0**2 - ICOHP_min_times_log_swidth)**2)*9.844408e-10*YangSolidSolution_Yang_omega,PySRFunction(X=>(antibond_max_times_p_center_sq + (GaussSymm_div_minEN + GaussianSymmFunc_mean_G4_0_005_4_0__1_0**2 - ICOHP_min_times_log_swidth)**2)*9.844408e-10*YangSolidSolution_Yang_omega)
14,0.005009339,(square((square(exp(GaussianSymmFunc_mean_G4_0_005_4_0__1_0)) * GaussSymm_div_minEN) - ICOHP_min_times_log_swidth) + antibond_max_times_p_center_sq) * (YangSolidSolution_Yang_omega * 9.91877e-10),0.03501008203443113,(antibond_max_times_p_center_sq + (GaussSymm_div_minEN*exp(2*GaussianSymmFunc_mean_G4_0_005_4_0__1_0) - ICOHP_min_times_log_swidth)**2)*YangSolidSolution_Yang_omega*9.91877e-10,PySRFunction(X=>(antibond_max_times_p_center_sq + (GaussSymm_div_minEN*exp(2*GaussianSymmFunc_mean_G4_0_005_4_0__1_0) - ICOHP_min_times_log_swidth)**2)*YangSolidSolution_Yang_omega*9.91877e-10)
