complexity,loss,equation,score,sympy_format,lambda_format
1,0.0095422445,0.06665229,0.0,0.0666522900000000,PySRFunction(X=>0.0666522900000000)
2,0.008984396,inv(ElementProperty_MagpieData_minimum_GSvolume_pa),0.060239435498388436,1/ElementProperty_MagpieData_minimum_GSvolume_pa,PySRFunction(X=>1/ElementProperty_MagpieData_minimum_GSvolume_pa)
3,0.007958585,p_band_center * -0.015784204,0.12123807459091542,p_band_center*(-0.015784204),PySRFunction(X=>p_band_center*(-0.015784204))
4,0.007633477,square(p_band_center * 0.051743567),0.04170777755966497,0.00267739672588349*p_band_center**2,PySRFunction(X=>0.00267739672588349*p_band_center**2)
5,0.007197777,(ElementProperty_MagpieData_avg_dev_MeltingT * p_band_center) * -4.429966e-5,0.05877121432675551,ElementProperty_MagpieData_avg_dev_MeltingT*p_band_center*(-4.429966e-5),PySRFunction(X=>ElementProperty_MagpieData_avg_dev_MeltingT*p_band_center*(-4.429966e-5))
6,0.006933647,YangSolidSolution_Yang_omega * (square(p_band_center) * 7.840907e-10),0.03738629094845276,YangSolidSolution_Yang_omega*p_band_center**2*7.840907e-10,PySRFunction(X=>YangSolidSolution_Yang_omega*p_band_center**2*7.840907e-10)
8,0.0065535554,(ElectronegativityDiff_range_EN_difference * YangSolidSolution_Yang_omega) * (square(p_band_center) * 7.469332e-10),0.028189112930299652,ElectronegativityDiff_range_EN_difference*YangSolidSolution_Yang_omega*p_band_center**2*7.469332e-10,PySRFunction(X=>ElectronegativityDiff_range_EN_difference*YangSolidSolution_Yang_omega*p_band_center**2*7.469332e-10)
10,0.006352074,((YangSolidSolution_Yang_omega * square(p_band_center)) * 4.926589e-10) * (antibonding_orb_perc_max + ElectronegativityDiff_range_EN_difference),0.015613168894416317,YangSolidSolution_Yang_omega*p_band_center**2*4.926589e-10*(ElectronegativityDiff_range_EN_difference + antibonding_orb_perc_max),PySRFunction(X=>YangSolidSolution_Yang_omega*p_band_center**2*4.926589e-10*(ElectronegativityDiff_range_EN_difference + antibonding_orb_perc_max))
11,0.006305908,(square(p_band_center) * ((ElectronegativityDiff_range_EN_difference + cube(antibonding_orb_perc_max)) * 6.1112376e-10)) * YangSolidSolution_Yang_omega,0.00729440201463702,p_band_center**2*(ElectronegativityDiff_range_EN_difference + antibonding_orb_perc_max**3)*6.1112376e-10*YangSolidSolution_Yang_omega,PySRFunction(X=>p_band_center**2*(ElectronegativityDiff_range_EN_difference + antibonding_orb_perc_max**3)*6.1112376e-10*YangSolidSolution_Yang_omega)
12,0.006232732,((square((0.2050625 / ElectronegativityDiff_minimum_EN_difference) + p_band_center) * YangSolidSolution_Yang_omega) * ElectronegativityDiff_range_EN_difference) * 7.9029716e-10,0.0116722117857842,(p_band_center + 0.2050625/ElectronegativityDiff_minimum_EN_difference)**2*YangSolidSolution_Yang_omega*ElectronegativityDiff_range_EN_difference*7.9029716e-10,PySRFunction(X=>(p_band_center + 0.2050625/ElectronegativityDiff_minimum_EN_difference)**2*YangSolidSolution_Yang_omega*ElectronegativityDiff_range_EN_difference*7.9029716e-10)
13,0.006161897,((antibonding_orb_perc_max + ElectronegativityDiff_range_EN_difference) * ((inv(ElectronegativityDiff_minimum_EN_difference) + square(p_band_center)) * YangSolidSolution_Yang_omega)) * 4.8211374e-10,0.011430075267994735,(ElectronegativityDiff_range_EN_difference + antibonding_orb_perc_max)*(p_band_center**2 + 1/ElectronegativityDiff_minimum_EN_difference)*YangSolidSolution_Yang_omega*4.8211374e-10,PySRFunction(X=>(ElectronegativityDiff_range_EN_difference + antibonding_orb_perc_max)*(p_band_center**2 + 1/ElectronegativityDiff_minimum_EN_difference)*YangSolidSolution_Yang_omega*4.8211374e-10)
